victim.age,hour.group,offenderage.group,type,relationship.group,division.name,loc.group,nonrelatives,relover65,rent,college,samehouse,employed,income,pop,target.harm
0.5,Afternoon,<20,SingleVO,Parent,East South Central,Unknown,4,0.8,782,23.4,83.4,61.8,43809,658466,0
12,Unknown,40-50,SingleVO,Known,East South Central,Home,4,0.8,782,23.4,83.4,61.8,43809,658466,1
15,Morning,40-50,MultVic,Parent,Mountain,Home,6.8,0.9,921,25.3,79.7,64.3,51976,3817117,0
17,Morning,40-50,MultVic,Parent,Mountain,Home,6.8,0.9,921,25.3,79.7,64.3,51976,3817117,0
16,Afternoon,Unknown,SingleVO,Stranger,Mountain,Road/transit,6.8,0.9,921,25.3,79.7,64.3,51976,3817117,0
16,Afternoon,20-30,SingleVO,Stranger,Mountain,Road/transit,6.8,0.9,921,25.3,79.7,64.3,51976,3817117,1
4,Night,<20,SingleVO,Known,Mountain,Home,6.8,0.9,921,25.3,79.7,64.3,51976,3817117,1
16,Afternoon,20-30,SingleVO,Known,Mountain,Home,5.5,0.9,965,27.6,80.2,51.9,48794,375770,0
14,Night,Unknown,SingleVO,Stranger,Mountain,Unknown,5.5,0.9,965,27.6,80.2,51.9,48794,375770,0
5,Afternoon,Unknown,SingleVO,Stranger,Mountain,Home,5.5,0.9,965,27.6,80.2,51.9,48794,375770,0
13,Morning,Unknown,SingleVO,Stranger,Mountain,Park/outdoor,5.5,0.9,965,27.6,80.2,51.9,48794,375770,0
4,Morning,40-50,SingleVO,Parent,Mountain,Home,5.5,0.9,965,27.6,80.2,51.9,48794,375770,0
11,Afternoon,40-50,SingleVO,Known,Mountain,School,5.5,0.9,965,27.6,80.2,51.9,48794,375770,1
16,Night,<20,SingleVO,Known,Mountain,Home,3.8,1.1,827,26.4,81.5,54.7,41060,195751,1
14,Night,<20,SingleVO,Known,Mountain,Home,3.8,1.1,827,26.4,81.5,54.7,41060,195751,0
3,Afternoon,Unknown,SingleVO,Unknown,West South Central,Unknown,4.9,0.6,682,21.6,85.65,62.3,44804.5,19019,0
15,Morning,Unknown,SingleVO,Unknown,West South Central,Unknown,4.9,0.6,682,21.6,85.65,62.3,44804.5,19019,1
3,Early,30-40,SingleVO,Stranger,West South Central,Home,4.5,0.8,590,27,86.8,46.4,34256,41513,1
14,Afternoon,20-30,MultVic,Known,West South Central,Road/transit,4.5,0.8,590,27,86.8,46.4,34256,41513,1
13,Morning,>50,MultOff,Stranger,West South Central,Shopping,4.5,0.8,590,27,86.8,46.4,34256,41513,0
8,Afternoon,30-40,SingleVO,Stranger,West South Central,School,4.5,0.8,590,27,86.8,46.4,34256,41513,0
13,Morning,>50,MultOff,Stranger,West South Central,Shopping,4.5,0.8,590,27,86.8,46.4,34256,41513,0
13,Afternoon,>50,SingleVO,Known,West South Central,Home,4.5,0.8,590,27,86.8,46.4,34256,41513,0
13,Afternoon,Unknown,SingleVO,Stranger,West South Central,Shopping,4.5,0.8,590,27,86.8,46.4,34256,41513,0
5,Early,30-40,SingleVO,Known,West South Central,Home,4.5,0.8,590,27,86.8,46.4,34256,41513,1
13,Afternoon,30-40,MultOff,Unknown,West South Central,School,4.5,0.8,590,27,86.8,46.4,34256,41513,0
15,Afternoon,20-30,MultVic,Known,West South Central,Road/transit,4.5,0.8,590,27,86.8,46.4,34256,41513,1
12,Night,30-40,SingleVO,Unknown,West South Central,Road/transit,4.5,0.8,590,27,86.8,46.4,34256,41513,0
10,Afternoon,30-40,SingleVO,Parent,West South Central,Home,4.5,0.8,590,27,86.8,46.4,34256,41513,0
13,Afternoon,30-40,MultOff,Unknown,West South Central,School,4.5,0.8,590,27,86.8,46.4,34256,41513,0
6,Afternoon,30-40,SingleVO,Parent,West South Central,Unknown,4,0.6,757,20.3,82.1,64.3,53964,221339,0
15,Night,Unknown,MultOff,Unknown,West South Central,Road/transit,3,0.7,553,26.5,84.8,55.8,36800,36903,0
15,Night,<20,MultOff,Unknown,West South Central,Road/transit,3,0.7,553,26.5,84.8,55.8,36800,36903,0
11,Afternoon,20-30,MultVic,Unknown,West South Central,Home,4.9,0.7,682,21.6,85.65,62.3,44804.5,11508,0
12,Afternoon,20-30,MultVic,Unknown,West South Central,Home,4.9,0.7,682,21.6,85.65,62.3,44804.5,11508,0
17,Night,20-30,MultOff,Unknown,West South Central,Home,5.2,0.7,560,21.9,83.5,55.4,33796,24552,0
8,Morning,40-50,MultVic,Unknown,West South Central,School,5.2,0.7,560,21.9,83.5,55.4,33796,24552,1
17,Night,40-50,MultOff,Unknown,West South Central,Home,5.2,0.7,560,21.9,83.5,55.4,33796,24552,0
10,Morning,40-50,MultVic,Unknown,West South Central,School,5.2,0.7,560,21.9,83.5,55.4,33796,24552,1
17,Night,<20,MultOff,Unknown,West South Central,Home,5.2,0.7,560,21.9,83.5,55.4,33796,24552,0
9,Morning,40-50,MultVic,Unknown,West South Central,School,5.2,0.7,560,21.9,83.5,55.4,33796,24552,1
15,Night,>50,MultOff,Known,West South Central,Home,6.6,0.6,639,22.7,74.9,63,40907,96443,0
15,Night,30-40,MultOff,Known,West South Central,Home,6.6,0.6,639,22.7,74.9,63,40907,96443,0
15,Night,>50,MultOff,Known,West South Central,Home,6.6,0.6,639,22.7,74.9,63,40907,96443,0
12,Night,Unknown,SingleVO,Unknown,West South Central,Home,3.4,0.7,600,23.4,84.2,57.5,38495,61948,0
15,Morning,40-50,MultOff,Unknown,West South Central,Home,3.4,0.7,600,23.4,84.2,57.5,38495,61948,0
13,Afternoon,<20,MultOff,Unknown,West South Central,Road/transit,3.4,0.7,600,23.4,84.2,57.5,38495,61948,0
16,Morning,Unknown,SingleVO,Unknown,West South Central,Road/transit,3.4,0.7,600,23.4,84.2,57.5,38495,61948,0
13,Early,Unknown,SingleVO,Parent,West South Central,Unknown,3.4,0.7,600,23.4,84.2,57.5,38495,61948,0
15,Morning,40-50,MultOff,Known,West South Central,Home,3.4,0.7,600,23.4,84.2,57.5,38495,61948,0
17,Morning,<20,SingleVO,Unknown,West South Central,School,3.4,0.7,600,23.4,84.2,57.5,38495,61948,1
13,Afternoon,20-30,MultOff,Unknown,West South Central,Road/transit,3.4,0.7,600,23.4,84.2,57.5,38495,61948,0
17,Night,20-30,SingleVO,Unknown,West South Central,Unknown,3.4,0.7,600,23.4,84.2,57.5,38495,61948,0
14,Morning,Unknown,SingleVO,Unknown,West South Central,Road/transit,3.4,0.7,600,23.4,84.2,57.5,38495,61948,0
13,Afternoon,20-30,MultOff,Unknown,West South Central,Road/transit,3.4,0.7,600,23.4,84.2,57.5,38495,61948,0
3,Night,40-50,SingleVO,Unknown,West South Central,Unknown,4.9,0.7,682,21.6,85.65,62.3,44804.5,17870,0
10,Morning,<20,SingleVO,Unknown,West South Central,Unknown,4.9,0.6,682,21.6,85.65,62.3,44804.5,18509,0
15,Early,30-40,SingleVO,Known,West South Central,Home,4.9,0.6,682,21.6,85.65,62.3,44804.5,18509,1
13,Afternoon,<20,SingleVO,Unknown,West South Central,Road/transit,4.9,0.6,682,21.6,85.65,62.3,44804.5,18509,1
1,Afternoon,>50,SingleVO,Unknown,West South Central,Unknown,4.9,0.6,682,21.6,85.65,62.3,44804.5,18509,0
12,Night,30-40,SingleVO,Unknown,West South Central,Home,4.9,0.6,682,21.6,85.65,62.3,44804.5,18509,0
17,Night,<20,SingleVO,Unknown,West South Central,Home,4.9,0.7,682,21.6,85.65,62.3,44804.5,18125,1
3,Afternoon,20-30,SingleVO,Known,West South Central,Home,4.2,0.9,591,25.2,85.7,61.1,29849,22609,0
13,Night,20-30,SingleVO,Known,West South Central,Home,6.3,0.7,645,21.2,87.8,56.9,41016,32923,1
10,Afternoon,>50,MultOff,Unknown,West South Central,Unknown,6.7,0.7,584,21.6,84.7,58.2,33058,36647,0
10,Afternoon,Unknown,MultOff,Unknown,West South Central,Unknown,6.7,0.7,584,21.6,84.7,58.2,33058,36647,0
15,Afternoon,30-40,SingleVO,Unknown,West South Central,Road/transit,4.2,0.8,646,22.6,83.3,57.2,37485,77435,0
17,Morning,Unknown,SingleVO,Unknown,West South Central,Shopping,4.2,0.8,646,22.6,83.3,57.2,37485,77435,1
15,Afternoon,20-30,SingleVO,Unknown,West South Central,Unknown,3.8,0.7,609,18.6,86.9,57.3,32389,25540,1
12,Unknown,20-30,SingleVO,Stranger,West South Central,Road/transit,3.8,0.7,504,22.2,87.4,55.3,36113,22353,0
13,Morning,Unknown,MultVO,Unknown,West South Central,Home,3.3,0.7,685,24.2,86.6,66.7,50730,68356,0
15,Afternoon,Unknown,SingleVO,Unknown,West South Central,School,3.3,0.7,685,24.2,86.6,66.7,50730,68356,1
10,Morning,40-50,MultVO,Unknown,West South Central,Home,3.3,0.7,685,24.2,86.6,66.7,50730,68356,0
10,Morning,Unknown,MultVO,Unknown,West South Central,Home,3.3,0.7,685,24.2,86.6,66.7,50730,68356,0
16,Morning,30-40,SingleVO,Unknown,West South Central,Home,3.3,0.7,685,24.2,86.6,66.7,50730,68356,1
12,Night,>50,SingleVO,Unknown,West South Central,Home,3.3,0.7,685,24.2,86.6,66.7,50730,68356,0
12,Night,<20,SingleVO,Family,West South Central,Home,3.3,0.7,685,24.2,86.6,66.7,50730,68356,1
13,Morning,40-50,MultVO,Unknown,West South Central,Home,3.3,0.7,685,24.2,86.6,66.7,50730,68356,0
16,Night,20-30,SingleVO,Unknown,West South Central,Unknown,4.9,0.8,682,21.6,85.65,62.3,44804.5,15717,1
